,date,new_deaths
105855,2021-04-16,3337.0
105856,2021-04-17,2877.0
105857,2021-04-18,1521.0
105858,2021-04-19,1756.0
105859,2021-04-20,3345.0
105860,2021-04-21,3196.0
105861,2021-04-22,2051.0
105862,2021-04-23,3042.0
105863,2021-04-24,2766.0
105864,2021-04-25,1334.0
105865,2021-04-26,1380.0
105866,2021-04-27,3081.0
105867,2021-04-28,3007.0
105868,2021-04-29,3032.0
105869,2021-04-30,2860.0
105870,2021-05-01,2239.0
105871,2021-05-02,1265.0
105872,2021-05-03,1125.0
105873,2021-05-04,2979.0
105874,2021-05-05,2770.0
105875,2021-05-06,2535.0
105876,2021-05-07,2184.0
105877,2021-05-08,2080.0
105878,2021-05-09,922.0
105879,2021-05-10,1111.0
105880,2021-05-11,2244.0
105881,2021-05-12,2581.0
105882,2021-05-13,2277.0
105883,2021-05-14,2187.0
105884,2021-05-15,2001.0
105885,2021-05-16,1060.0
105886,2021-05-17,1084.0
105887,2021-05-18,2451.0
105888,2021-05-19,2499.0
105889,2021-05-20,2510.0
105890,2021-05-21,2126.0
105891,2021-05-22,1726.0
105892,2021-05-23,889.0
105893,2021-05-24,861.0
105894,2021-05-25,2183.0
105895,2021-05-26,2463.0
105896,2021-05-27,2101.0
105897,2021-05-28,2425.0
105898,2021-05-29,1939.0
105899,2021-05-30,913.0
105900,2021-05-31,965.0
105901,2021-06-01,2332.0
105902,2021-06-02,2507.0
105903,2021-06-03,1913.0
105904,2021-06-04,1191.0
105905,2021-06-05,1670.0
105906,2021-06-06,880.0
105907,2021-06-07,1149.0
105908,2021-06-08,2647.0
105909,2021-06-09,2389.0
105910,2021-06-10,2501.0
105911,2021-06-11,2176.0
105912,2021-06-12,1974.0
105913,2021-06-13,1119.0
105914,2021-06-14,1019.0
105915,2021-06-15,2683.0
105916,2021-06-16,2700.0
105917,2021-06-17,2314.0
105918,2021-06-18,2475.0
105919,2021-06-19,2205.0
105920,2021-06-20,1031.0
105921,2021-06-21,981.0
105922,2021-06-22,2103.0
105923,2021-06-23,2265.0
105924,2021-06-24,2038.0
105925,2021-06-25,2007.0
105926,2021-06-26,1516.0
105927,2021-06-27,720.0
105928,2021-06-28,714.0
105929,2021-06-29,1938.0
105930,2021-06-30,2063.0
105931,2021-07-01,1932.0
105932,2021-07-02,1875.0
105933,2021-07-03,1635.0
105934,2021-07-04,771.0
105935,2021-07-05,787.0
105936,2021-07-06,1757.0
105937,2021-07-07,1584.0
105938,2021-07-08,1727.0
105939,2021-07-09,1472.0
105940,2021-07-10,1157.0
105941,2021-07-11,564.0
105942,2021-07-12,779.0
105943,2021-07-13,1658.0
105944,2021-07-14,1535.0
105945,2021-07-15,1609.0
105946,2021-07-16,1389.0
105947,2021-07-17,1271.0
105948,2021-07-18,481.0
105949,2021-07-19,668.0
105950,2021-07-20,1379.0
105951,2021-07-21,1400.0
105952,2021-07-22,1430.0
105953,2021-07-23,1291.0
105954,2021-07-24,1080.0
105955,2021-07-25,479.0
105956,2021-07-26,625.0
105957,2021-07-27,1289.0
105958,2021-07-28,1372.0
105959,2021-07-29,1340.0
105960,2021-07-30,883.0
105961,2021-07-31,949.0
105962,2021-08-01,415.0
105963,2021-08-02,544.0
105964,2021-08-03,1236.0
105965,2021-08-04,1072.0
105966,2021-08-05,1126.0
105967,2021-08-06,957.0
105968,2021-08-07,999.0
105969,2021-08-08,389.0
105970,2021-08-09,507.0
105971,2021-08-10,1268.0
105972,2021-08-11,1044.0
105973,2021-08-12,1016.0
105974,2021-08-13,892.0
105975,2021-08-14,912.0
105976,2021-08-15,389.0
105977,2021-08-16,410.0
105978,2021-08-17,1094.0
105979,2021-08-18,989.0
105980,2021-08-19,1022.0
105981,2021-08-20,894.0
105982,2021-08-21,611.0
105983,2021-08-22,333.0
105984,2021-08-23,417.0
105985,2021-08-24,860.0
105986,2021-08-25,887.0
105987,2021-08-26,870.0
105988,2021-08-27,818.0
105989,2021-08-28,627.0
105990,2021-08-29,278.0
105991,2021-08-30,317.0
105992,2021-08-31,880.0
105993,2021-09-01,696.0
105994,2021-09-02,782.0
105995,2021-09-03,740.0
105996,2021-09-04,637.0
105997,2021-09-05,271.0
105998,2021-09-06,220.0
105999,2021-09-07,327.0
106000,2021-09-08,249.0
106001,2021-09-09,824.0
106002,2021-09-10,636.0
106003,2021-09-11,668.0
106004,2021-09-12,299.0
106005,2021-09-13,283.0
106006,2021-09-14,678.0
106007,2021-09-15,801.0
106008,2021-09-16,663.0
106009,2021-09-17,638.0
106010,2021-09-18,586.0
106011,2021-09-19,248.0
106012,2021-09-20,265.0
106013,2021-09-21,673.0
106014,2021-09-22,665.0
106015,2021-09-23,629.0
106016,2021-09-24,680.0
106017,2021-09-25,540.0
106018,2021-09-26,266.0
106019,2021-09-27,194.0
106020,2021-09-28,817.0
106021,2021-09-29,681.0
106022,2021-09-30,608.0
